"score","id","category","primary_query","secondary_queries","url","stock","price"
"108","185","Fren Diski","Fren Diski ROR Meritor OEM 1088133 ESD 070 24","ROR dorse dingili Fren Diski | ROR dorse dingili 1088133 | 1088133 Fren Diski | ESD 070 24 Fren Diski | Fren Diski ROR Meritor","https://www.frenciniz.com/urun/185/fren-diski-ror-meritor-oem-1088133-esd-070-24-ekersan","97","4950.09"
"108","280","Fren Diski","Fren Diski Volvo FH FM FL OEM 85103803 ESD 110 01-1","Volvo FH Fren Diski | Volvo FH 85103803 | 85103803 Fren Diski | ESD 110 01-1 Fren Diski | Fren Diski Volvo FH FM FL","https://www.frenciniz.com/urun/280/fren-diski-volvo-fh-fm-fl-oem-85103803-esd-110-01-1-ekersan","96","3722.24"
"108","232","Fren Diski","Fren Diski Mercedes Atego Tourino OEM 9754210212 ESD 010 04","Mercedes-Benz Atego Fren Diski | Mercedes-Benz Atego 9754210212 | 9754210212 Fren Diski | ESD 010 04 Fren Diski | Fren Diski Mercedes Atego Tourino","https://www.frenciniz.com/urun/232/fren-diski-mercedes-atego-tourino-oem-9754210212-esd-010-04-ekersan","94","3789.91"
"108","279","Fren Diski","Fren Diski Volvo FH FM FL OEM 85103803 ESD 110 01-3","Volvo FH Fren Diski | Volvo FH 85103803 | 85103803 Fren Diski | ESD 110 01-3 Fren Diski | Fren Diski Volvo FH FM FL","https://www.frenciniz.com/urun/279/fren-diski-volvo-fh-fm-fl-oem-85103803-esd-110-01-3-ekersan","90","3840.54"
"108","194","Fren Diski","Fren Diski Dorse Treyler 8 Delik 160 230 OEM 0308834010 ESD 070 10-1","BPW dorse dingili Fren Diski | BPW dorse dingili 0308834010 | 0308834010 Fren Diski | ESD 070 10-1 Fren Diski | Fren Diski Dorse Treyler 8 Delik 160 230","https://www.frenciniz.com/urun/194/fren-diski-dorse-treyler-8-delik-160-230-oem-0308834010-esd-070-10-1-ekersan","87","4636.84"
"108","210","Fren Diski","Fren Diski Iveco Eurocargo Stralis Trakker WABCO ABS EBS Arka 110 OEM 7189456 ESD 030 20","Iveco Eurocargo Fren Diski | Iveco Eurocargo 7189456 | 7189456 Fren Diski | ESD 030 20 Fren Diski | Fren Diski Iveco Eurocargo Stralis Trakker WABCO ABS EBS Arka 110","https://www.frenciniz.com/urun/210/fren-diski-iveco-eurocargo-stralis-trakker-wabco-abs-ebs-arka-110-oem-7189456-esd-030-20-ekersan","86","4094.46"
"108","859","Fren Pabucu","Fren Pabucu Volvo FH FH12 FM FL BMC Probus Profesyonel Fatih Pro 5 cm OEM (A) G4 EYD 206 01-1","Volvo FH Fren Pabucu | Volvo FH (A) G4 | (A) G4 Fren Pabucu | EYD 206 01-1 Fren Pabucu | Fren Pabucu Volvo FH FH12 FM FL BMC Probus Profesyonel Fatih Pro 5 cm","https://www.frenciniz.com/urun/859/fren-pabucu-volvo-fh-fh12-fm-fl-bmc-probus-profesyonel-fatih-pro-5-cm-oem-a-g4-eyd-206-01-1","85","924"
"108","174","Fren Diski","Fren Diski ESD 110 01 2 SKU ESD 110 01-2","Kamyon Fren Diski | Kamyon ESD 110 01-2 | ESD 110 01-2 Fren Diski | Fren Diski ESD 110 01 2","https://www.frenciniz.com/urun/174/fren-diski-esd-110-01-2-sku-esd-110-01-2-ekersan","83","4041.28"
"108","858","Fren Pabucu","Fren Pabucu BMC Probus Profesyonel Fatih Pro 20 cm OEM (A) E4 EYD 206 02","BMC Probus Fren Pabucu | BMC Probus (A) E4 | (A) E4 Fren Pabucu | EYD 206 02 Fren Pabucu | Fren Pabucu BMC Probus Profesyonel Fatih Pro 20 cm","https://www.frenciniz.com/urun/858/fren-pabucu-bmc-probus-profesyonel-fatih-pro-20-cm-oem-a-e4-eyd-206-02-ekersan","83","924"
"108","162","Fren Diski","Fren Diski York Valx OEM 50390001 ESD 220 01","Dorse / treyler Fren Diski | Dorse / treyler 50390001 | 50390001 Fren Diski | ESD 220 01 Fren Diski | Fren Diski York Valx","https://www.frenciniz.com/urun/162/fren-diski-york-valx-oem-50390001-esd-220-01-ekersan","82","5360.02"
