"rank","score","priority","id","sku","name","category","group","part","price","stock","oem","compat","image","demand_group","demand_rank","url"
"34","29","sales-priority-1","227","ESD 010 27","9604210412 Mercedes Axor Actros Arocs Fren Diski","Fren Diski","disk","fren diski","4273.32","442","9604210412, 9604210312, 9604210512","Mercedes-Benz Actros | Mercedes-Benz Axor | Mercedes-Benz Arocs | Actros 1840 | Actros 1841","yes","","","https://www.frenciniz.com/urun/227/9604210412-mercedes-axor-actros-arocs-fren-diski-ekersan"
"35","29","sales-priority-1","224","ESD 020 09","81508030040 MAN Fortuna Otobüs Fren Diski ESD 020 09","Fren Diski","disk","fren diski","4137.96","437","81508030040, 81508030031","MAN TGA | MAN TGS | MAN TGX | MAN TGM | MAN TGL","yes","","","https://www.frenciniz.com/urun/224/81508030040-man-fortuna-otobus-fren-diski-esd-020-09-ekersan"
"36","29","sales-priority-1","169","ESD 140 01","82135830 Mercedes Travego Tourismo MAN Fortuna Otobüs Fren Diski ESD 140 01","Fren Diski","disk","fren diski","4604.94","369","82135830 - 501315228 - 501316953 - 4200172 - 1415147 - 234110 - II371910061","Otokar Doruk | Otokar Sultan | Karsan Atak | Mercedes-Benz Travego/Tourismo | MAN Fortuna otobüs","yes","","","https://www.frenciniz.com/urun/169/82135830-mercedes-travego-tourismo-man-fortuna-otobus-fren-diski-esd-140-01-ekersan"
"37","29","sales-priority-1","223","ESD 020 10","81508030041 MAN Fortuna Otobüs Fren Diski ESD 020 10","Fren Diski","disk","fren diski","4137.96","364","81508030041, 81508030021","MAN TGA | MAN TGS | MAN TGX | MAN TGM | MAN TGL","yes","","","https://www.frenciniz.com/urun/223/81508030041-man-fortuna-otobus-fren-diski-esd-020-10-ekersan"
"38","29","sales-priority-1","203","ESD 060 02","1387439 Scania P G R Fren Diski","Fren Diski","disk","fren diski","3594.62","357","1387439, 1640561, 1726138, II39112F, II39541F, II39112F, IL39541F, K004322, Z0009911","Scania 4 serisi | Scania P/G/R serisi | Scania P serisi | Scania G420 | Scania G440","yes","","","https://www.frenciniz.com/urun/203/1387439-scania-p-g-r-fren-diski-ekersan"
"39","29","sales-priority-1","193","ESD 070 12","407000500 Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Fren Diski ESD 070 12","Fren Diski","disk","fren diski","3962.00","334","407000500, 407000501, 4079000502","SAF dorse dingili | SAF Holland treyler | SAF Holland | SAF Intradisc | SAF Intrax","yes","","","https://www.frenciniz.com/urun/193/407000500-ford-cargo-saf-dorse-krone-dorse-kogel-dorse-fren-diski-esd-070-12-ekersan"
"40","29","sales-priority-1","188","ESD 070 20","0308835030 Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Diski ESD 070 20","Fren Diski","disk","fren diski","4126.36","310","0308835030, 0308835037","BPW dorse dingili | BPW ECOPlus dingil | BPW treyler | BPW ECOPlus | BPW 9 ton","yes","","","https://www.frenciniz.com/urun/188/0308835030-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-fren-diski-esd-070-20-ekersan"
"41","29","sales-priority-1","175","ESD 110 01","85103803 Volvo FH12 FM FL Fren Diski ESD 110 01","Fren Diski","disk","fren diski","3722.23","290","85103803, 20515093, 5001864498","Volvo FH | Volvo FM | Volvo FL | Volvo FH12 | Volvo FH13","yes","","","https://www.frenciniz.com/urun/175/85103803-volvo-fh12-fm-fl-fren-diski-esd-110-01-ekersan"
"42","29","sales-priority-1","190","ESD 070 15","4079001300 Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Fren Diski ESD 070 15","Fren Diski","disk","fren diski","3509.54","271","4079001300, 4079001301","SAF dorse dingili | SAF Holland treyler | SAF Holland | SAF Intradisc | SAF Intrax","yes","","","https://www.frenciniz.com/urun/190/4079001300-ford-cargo-saf-dorse-krone-dorse-kogel-dorse-fren-diski-esd-070-15-ekersan"
"43","29","sales-priority-1","201","ESD 070 02","308834020 Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Diski ESD 070 02","Fren Diski","disk","fren diski","4636.84","241","308834020, 308834060, 0308834067, 103784, 104085","BPW dorse dingili | BPW ECOPlus dingil | BPW treyler | BPW ECOPlus | BPW 9 ton","yes","","","https://www.frenciniz.com/urun/201/308834020-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-fren-diski-esd-070-02-ekersan"
