"campaign","ad_group","match_type","keyword","final_url","product_id","category","demand_group","stock","price"
"Frenciniz Urun Arama - Exact","Bijon","Exact","0329633141 Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Bijon DPS ESB 1723 10","https://www.frenciniz.com/urun/376/0329633141-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-bijon-dps-esb-1723-10-ekersan","376","Bijon","","1971","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","BPW dorse dingili Bijon","https://www.frenciniz.com/urun/376/0329633141-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-bijon-dps-esb-1723-10-ekersan","376","Bijon","","1971","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","BPW dorse dingili 0329633141","https://www.frenciniz.com/urun/376/0329633141-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-bijon-dps-esb-1723-10-ekersan","376","Bijon","","1971","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","81455010174 MAN Ford Cargo Krone Dorse Kögel Dorse Bijon DPS ESB 272 10","https://www.frenciniz.com/urun/341/81455010174-man-ford-cargo-krone-dorse-kogel-dorse-bijon-dps-esb-272-10-ekersan","341","Bijon","","1969","186.94"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Kamyon Bijon","https://www.frenciniz.com/urun/341/81455010174-man-ford-cargo-krone-dorse-kogel-dorse-bijon-dps-esb-272-10-ekersan","341","Bijon","","1969","186.94"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Kamyon 81455010174","https://www.frenciniz.com/urun/341/81455010174-man-ford-cargo-krone-dorse-kogel-dorse-bijon-dps-esb-272-10-ekersan","341","Bijon","","1969","186.94"
"Frenciniz Urun Arama - Exact","Bijon","Exact","3524020071 Mercedes Atego Bijon Arka","https://www.frenciniz.com/urun/245/3524020071-mercedes-atego-bijon-arka-ekersan","245","Bijon","","1967","170.44"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Mercedes-Benz Atego Bijon","https://www.frenciniz.com/urun/245/3524020071-mercedes-atego-bijon-arka-ekersan","245","Bijon","","1967","170.44"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Mercedes-Benz Atego 3524020071","https://www.frenciniz.com/urun/245/3524020071-mercedes-atego-bijon-arka-ekersan","245","Bijon","","1967","170.44"
"Frenciniz Urun Arama - Exact","Bijon","Exact","42117452-2475870 Ford Cargo Bijon DPS ESB 620 20","https://www.frenciniz.com/urun/311/42117452-2475870-ford-cargo-bijon-dps-esb-620-20-ekersan","311","Bijon","","1821","186.94"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Iveco Eurocargo Bijon","https://www.frenciniz.com/urun/311/42117452-2475870-ford-cargo-bijon-dps-esb-620-20-ekersan","311","Bijon","","1821","186.94"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Iveco Eurocargo 42117452-2475870","https://www.frenciniz.com/urun/311/42117452-2475870-ford-cargo-bijon-dps-esb-620-20-ekersan","311","Bijon","","1821","186.94"
"Frenciniz Urun Arama - Exact","Bijon","Exact","5010566244 Renault Premium Magnum Kerax Midlum D Serisi Bijon 95 mm Arka","https://www.frenciniz.com/urun/354/5010566244-renault-premium-magnum-kerax-midlum-d-serisi-bijon-95-mm-arka-ekersan","354","Bijon","","1765","215.8"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Renault Trucks Premium Bijon","https://www.frenciniz.com/urun/354/5010566244-renault-premium-magnum-kerax-midlum-d-serisi-bijon-95-mm-arka-ekersan","354","Bijon","","1765","215.8"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Renault Trucks Premium 5010566244","https://www.frenciniz.com/urun/354/5010566244-renault-premium-magnum-kerax-midlum-d-serisi-bijon-95-mm-arka-ekersan","354","Bijon","","1765","215.8"
"Frenciniz Urun Arama - Exact","Bijon","Exact","15033-T BMC Bijon ESB 530 20","https://www.frenciniz.com/urun/317/15033-t-bmc-bijon-esb-530-20-ekersan","317","Bijon","","1720","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","BMC Probus Bijon","https://www.frenciniz.com/urun/317/15033-t-bmc-bijon-esb-530-20-ekersan","317","Bijon","","1720","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","BMC Probus 15033-T","https://www.frenciniz.com/urun/317/15033-t-bmc-bijon-esb-530-20-ekersan","317","Bijon","","1720","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","329623150-980623270 Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Bijon DPS ESB 1719 10","https://www.frenciniz.com/urun/378/329623150-980623270-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-bijon-dps-esb-1719-10-ekersan","378","Bijon","","1710","218.55"
"Frenciniz Urun Arama - Exact","Bijon","Exact","BPW dorse dingili Bijon","https://www.frenciniz.com/urun/378/329623150-980623270-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-bijon-dps-esb-1719-10-ekersan","378","Bijon","","1710","218.55"
"Frenciniz Urun Arama - Exact","Bijon","Exact","BPW dorse dingili 329623150-980623270","https://www.frenciniz.com/urun/378/329623150-980623270-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-bijon-dps-esb-1719-10-ekersan","378","Bijon","","1710","218.55"
"Frenciniz Urun Arama - Exact","Bijon","Exact","1573082 Volvo FH12 FM FL Bijon DPS ESB 1410 10","https://www.frenciniz.com/urun/390/1573082-volvo-fh12-fm-fl-bijon-dps-esb-1410-10-ekersan","390","Bijon","","1594","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Volvo FH Bijon","https://www.frenciniz.com/urun/390/1573082-volvo-fh12-fm-fl-bijon-dps-esb-1410-10-ekersan","390","Bijon","","1594","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Volvo FH 1573082","https://www.frenciniz.com/urun/390/1573082-volvo-fh12-fm-fl-bijon-dps-esb-1410-10-ekersan","390","Bijon","","1594","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","3894010071 Mercedes Axor Actros MAN Bijon 80 mm DPS","https://www.frenciniz.com/urun/59/3894010071-mercedes-axor-actros-man-bijon-80-mm-dps-ekersan","59","Bijon","","1590","183.64"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Mercedes-Benz Axor Bijon","https://www.frenciniz.com/urun/59/3894010071-mercedes-axor-actros-man-bijon-80-mm-dps-ekersan","59","Bijon","","1590","183.64"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Mercedes-Benz Axor 3894010071","https://www.frenciniz.com/urun/59/3894010071-mercedes-axor-actros-man-bijon-80-mm-dps-ekersan","59","Bijon","","1590","183.64"
"Frenciniz Urun Arama - Exact","Bijon","Exact","272853 Scania P G R Bijon 100 mm Arka","https://www.frenciniz.com/urun/291/272853-scania-p-g-r-bijon-100-mm-arka-ekersan","291","Bijon","","1574","210.3"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Scania P/G/R serisi Bijon","https://www.frenciniz.com/urun/291/272853-scania-p-g-r-bijon-100-mm-arka-ekersan","291","Bijon","","1574","210.3"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Scania P/G/R serisi 272853","https://www.frenciniz.com/urun/291/272853-scania-p-g-r-bijon-100-mm-arka-ekersan","291","Bijon","","1574","210.3"
"Frenciniz Urun Arama - Exact","Bijon","Exact","42117447 Ford Cargo Bijon DPS ESB 693 10","https://www.frenciniz.com/urun/304/42117447-ford-cargo-bijon-dps-esb-693-10-ekersan","304","Bijon","","1570","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Iveco Eurocargo Bijon","https://www.frenciniz.com/urun/304/42117447-ford-cargo-bijon-dps-esb-693-10-ekersan","304","Bijon","","1570","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Iveco Eurocargo 42117447","https://www.frenciniz.com/urun/304/42117447-ford-cargo-bijon-dps-esb-693-10-ekersan","304","Bijon","","1570","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","99720-1337020 DAF Cf Xf Bijon DPS ESB 1013 10","https://www.frenciniz.com/urun/395/99720-1337020-daf-cf-xf-bijon-dps-esb-1013-10-ekersan","395","Bijon","","1556","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","DAF CF/XF Bijon","https://www.frenciniz.com/urun/395/99720-1337020-daf-cf-xf-bijon-dps-esb-1013-10-ekersan","395","Bijon","","1556","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","DAF CF/XF 99720-1337020","https://www.frenciniz.com/urun/395/99720-1337020-daf-cf-xf-bijon-dps-esb-1013-10-ekersan","395","Bijon","","1556","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","20428545-15890088 Volvo FH12 FM FL Bijon 117 mm 27 mm Uzun","https://www.frenciniz.com/urun/388/20428545-15890088-volvo-fh12-fm-fl-bijon-117-mm-27-mm-uzun-ekersan","388","Bijon","","1512","218.55"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Volvo FH Bijon","https://www.frenciniz.com/urun/388/20428545-15890088-volvo-fh12-fm-fl-bijon-117-mm-27-mm-uzun-ekersan","388","Bijon","","1512","218.55"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Volvo FH 20428545-15890088","https://www.frenciniz.com/urun/388/20428545-15890088-volvo-fh12-fm-fl-bijon-117-mm-27-mm-uzun-ekersan","388","Bijon","","1512","218.55"
"Frenciniz Urun Arama - Exact","Bijon","Exact","ESB 786 10-R Isuzu NPR NQR Bijon Sağ Arka","https://www.frenciniz.com/urun/300/esb-786-10-r-isuzu-npr-nqr-bijon-sag-arka-ekersan","300","Bijon","","1465","288.65"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Isuzu Novo Bijon","https://www.frenciniz.com/urun/300/esb-786-10-r-isuzu-npr-nqr-bijon-sag-arka-ekersan","300","Bijon","","1465","288.65"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Isuzu Novo ESB 786 10-R","https://www.frenciniz.com/urun/300/esb-786-10-r-isuzu-npr-nqr-bijon-sag-arka-ekersan","300","Bijon","","1465","288.65"
"Frenciniz Urun Arama - Exact","Bijon","Exact","99717 DAF Cf Xf Bijon DPS ESB 1010 10","https://www.frenciniz.com/urun/398/99717-daf-cf-xf-bijon-dps-esb-1010-10-ekersan","398","Bijon","","1462","210.3"
"Frenciniz Urun Arama - Exact","Bijon","Exact","DAF CF/XF Bijon","https://www.frenciniz.com/urun/398/99717-daf-cf-xf-bijon-dps-esb-1010-10-ekersan","398","Bijon","","1462","210.3"
"Frenciniz Urun Arama - Exact","Bijon","Exact","DAF CF/XF 99717","https://www.frenciniz.com/urun/398/99717-daf-cf-xf-bijon-dps-esb-1010-10-ekersan","398","Bijon","","1462","210.3"
"Frenciniz Urun Arama - Exact","Bijon","Exact","3184020271 Mercedes Atego Bijon 66 mm","https://www.frenciniz.com/urun/246/3184020271-mercedes-atego-bijon-66-mm-ekersan","246","Bijon","","1430","163.57"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Mercedes-Benz Atego Bijon","https://www.frenciniz.com/urun/246/3184020271-mercedes-atego-bijon-66-mm-ekersan","246","Bijon","","1430","163.57"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Mercedes-Benz Atego 3184020271","https://www.frenciniz.com/urun/246/3184020271-mercedes-atego-bijon-66-mm-ekersan","246","Bijon","","1430","163.57"
"Frenciniz Urun Arama - Exact","Bijon","Exact","ESB 786 11-L Isuzu NPR NQR Bijon Sol Arka","https://www.frenciniz.com/urun/299/esb-786-11-l-isuzu-npr-nqr-bijon-sol-arka-ekersan","299","Bijon","","1408","288.65"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Isuzu Novo Bijon","https://www.frenciniz.com/urun/299/esb-786-11-l-isuzu-npr-nqr-bijon-sol-arka-ekersan","299","Bijon","","1408","288.65"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Isuzu Novo ESB 786 11-L","https://www.frenciniz.com/urun/299/esb-786-11-l-isuzu-npr-nqr-bijon-sol-arka-ekersan","299","Bijon","","1408","288.65"
"Frenciniz Urun Arama - Exact","Bijon","Exact","81455010133 MAN TGA TGS TGX TGM Bijon","https://www.frenciniz.com/urun/343/81455010133-man-tga-tgs-tgx-tgm-bijon-ekersan","343","Bijon","","1404","186.94"
"Frenciniz Urun Arama - Exact","Bijon","Exact","MAN TGA Bijon","https://www.frenciniz.com/urun/343/81455010133-man-tga-tgs-tgx-tgm-bijon-ekersan","343","Bijon","","1404","186.94"
"Frenciniz Urun Arama - Exact","Bijon","Exact","MAN TGA 81455010133","https://www.frenciniz.com/urun/343/81455010133-man-tga-tgs-tgx-tgm-bijon-ekersan","343","Bijon","","1404","186.94"
"Frenciniz Urun Arama - Exact","Bijon","Exact","620646 DAF Cf Xf Bijon DPS ESB 1014 10","https://www.frenciniz.com/urun/394/620646-daf-cf-xf-bijon-dps-esb-1014-10-ekersan","394","Bijon","","1335","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","DAF CF/XF Bijon","https://www.frenciniz.com/urun/394/620646-daf-cf-xf-bijon-dps-esb-1014-10-ekersan","394","Bijon","","1335","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","DAF CF/XF 620646","https://www.frenciniz.com/urun/394/620646-daf-cf-xf-bijon-dps-esb-1014-10-ekersan","394","Bijon","","1335","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","99731 DAF Cf Xf Bijon DPS ESB 1012 10","https://www.frenciniz.com/urun/396/99731-daf-cf-xf-bijon-dps-esb-1012-10-ekersan","396","Bijon","","1085","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","DAF CF/XF Bijon","https://www.frenciniz.com/urun/396/99731-daf-cf-xf-bijon-dps-esb-1012-10-ekersan","396","Bijon","","1085","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","DAF CF/XF 99731","https://www.frenciniz.com/urun/396/99731-daf-cf-xf-bijon-dps-esb-1012-10-ekersan","396","Bijon","","1085","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","329613170 Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Bijon","https://www.frenciniz.com/urun/380/329613170-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-bijon-ekersan","380","Bijon","","1079","218.55"
"Frenciniz Urun Arama - Exact","Bijon","Exact","BPW dorse dingili Bijon","https://www.frenciniz.com/urun/380/329613170-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-bijon-ekersan","380","Bijon","","1079","218.55"
"Frenciniz Urun Arama - Exact","Bijon","Exact","BPW dorse dingili 329613170","https://www.frenciniz.com/urun/380/329613170-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-bijon-ekersan","380","Bijon","","1079","218.55"
